motion_detect: 300 frames, window=300, step=10
methods: M1=hsv_strict (static<3.0px) M2=motion_diff (diff>12, hue<12) M3=hsv_loose (h±5, sv-30, static<1.0px)
agree_radius=120px, link_dist=80px

slot       hex  M1  M2  M3  agree  conf        cx,cy  name
----------------------------------------------------------------------
   3   #325bcc  27  56  16    3/3  HIGH    515,284    Team 3
   4   #402d56   4 100 128    3/3  HIGH    767,374    Team 4
   6   #ad2f55  45 205 182    3/3  HIGH    451,136    Team 6
  12   #704205   3  59  55    3/3  HIGH    520,549    Team 12
  19   #2d4f1c  58 174 112    3/3  HIGH    116,305    Team 19
  20   #145a47   6 216 189    3/3  HIGH    840,562    Team 20
   1   #11758e  88 106 337    2/3   MED    736,45     Team 1
   8   #c12210   5 276 103    2/3   MED    352,289    Team 8
   9   #cf512b   0  18  96    2/3   MED    629,679    Team 9
  13   #b37d37  43 130  65    2/3   MED    590,113    Team 13
  15   #51530a   2  20 539    2/3   MED    404,752    Team 15
  18   #38773b  52  86 127    2/3   MED    635,242    Team 18
   2   #194061 245  32 633    3/3   LOW    916,63     Team 2
   5   #7a4278   0 100  29    2/3   LOW    412,188    Team 5
   7   #b12f8e  66  83 184    3/3   LOW    348,307    Team 7
  10   #742519   1  78 290    3/3   LOW   1022,1002   Team 10
  11   #974312   0  53 248    2/3   LOW    597,152    Team 11
  14   #8b6e0f   0  66 119    2/3   LOW    364,738    Team 14
  16   #484e14   0 122 236    2/3   LOW    269,142    Team 16
  17   #718746  13 150 233    3/3   LOW    107,454    Team 17

summary: HIGH=6 MED=6 LOW=8 MISS=0 (total 20)
