motion_detect: 300 frames, window=300, step=10, static<3.0px → rejected

slot       hex  mov  best_disp  static  name
   1   #11758e  108      167.1      13   Team 1
   2   #194061  239      126.8     237   Team 2
   3   #325bcc   25       72.9       2   Team 3
   4   #402d56    3       52.9       1   Team 4
   5   #7a4278    0        0.0       0   Team 5
   6   #ad2f55   52       89.1      11   Team 6
   7   #b12f8e   64       90.2      14   Team 7
   8   #c12210    3       32.9       2   Team 8
   9   #cf512b    0        0.0       1   Team 9
  10   #742519    0        0.0       0   Team 10
  11   #974312    0        0.0       0   Team 11
  12   #704205    3       34.8       2   Team 12
  13   #b37d37   43       75.7       5   Team 13
  14   #8b6e0f    0        0.0       0   Team 14
  15   #51530a    2       58.0       2   Team 15
  16   #484e14    0        0.0       0   Team 16
  17   #718746   13       72.6       6   Team 17
  18   #38773b   62      131.7       0   Team 18
  19   #2d4f1c   56       94.1       9   Team 19
  20   #145a47    6       21.2       3   Team 20
